id;lat;lon;z;weight;panoid;type;typename;plat;plon;pz;azimuth
7683725;55.759111;37.607208;166.498337;893.158;7499632;34;Пешеходный переход наземный;55.7588;37.6069;165.089416503906;228
7683726;55.761798;37.605443;173.420273;775.072;7499448;34;Пешеходный переход наземный;55.7615;37.6059;172.659286499023;123
7683727;55.759028;37.607306;165.936172;769.948;7499632;34;Пешеходный переход наземный;55.7588;37.6069;165.089416503906;48
7683728;55.740034;37.589338;151.613602;725.716;7498212;34;Пешеходный переход наземный;55.7403;37.5889;151.268890380859;297
7683729;55.744414;37.601999;147.998169;723.993;7497396;34;Пешеходный переход наземный;55.7446;37.6016;146.313705444336;294
7683730;55.739935;37.589721;153.022873;709.287;7498214;34;Пешеходный переход наземный;55.7402;37.5891;151.206451416016;118
7683731;55.754048;37.60607;158.873459;700.883;7499740;34;Пешеходный переход наземный;55.7537;37.6059;158.760070800781;24
7683732;55.7592528202941;37.6075405880312;167.385088977938;700.036;7499634;34;Пешеходный переход наземный;55.7589;37.6071;165.408309936523;27
7683733;55.741595;37.601479;152.179276;696.904;7497711;34;Пешеходный переход наземный;55.7418;37.601;151.425628662109;294
7683734;55.741664;37.599416;146.926697;694.857;7497530;34;Пешеходный переход наземный;55.7415;37.599;146.152252197266;232
7683735;55.753694;37.602594;162.091324;691.648;7499789;34;Пешеходный переход наземный;55.7539;37.6031;162.137161254883;241
7683736;55.744154;37.58842;157.693726;689.496;7498867;34;Пешеходный переход наземный;55.7445;37.5885;156.921585083008;188
7683737;55.738523;37.592169;150.346039;683.107;7498236;34;Пешеходный переход наземный;55.7388;37.5916;149.815780639648;297
7683738;55.761247;37.607824;174.881607;680.327;7499282;34;Пешеходный переход наземный;55.7616;37.6083;174.397888183594;127
7683739;55.757551;37.608716;159.051712;679.848;7499556;34;Пешеходный переход наземный;55.7572;37.6082;157.683898925781;52
7683740;55.742686;37.596455;152.710495;678.08;7497670;34;Пешеходный переход наземный;55.7424;37.597;151.572830200195;300
7683741;55.740933;37.591959;154.547638;673.752;7498329;34;Пешеходный переход наземный;55.741;37.5915;153.081954956055;250
7683742;55.755287;37.599724;162.915741;673.432;7497268;34;Пешеходный переход наземный;55.7556;37.5995;162.079605102539;146
7683743;55.75493;37.606476;158.461731;672.65;7499751;34;Пешеходный переход наземный;55.7547;37.6063;158.341812133789;207
7683744;55.749129;37.608534;151.562485;661.259;7500014;34;Пешеходный переход наземный;55.7493;37.6079;152.619338989258;199
7683745;55.752351;37.608059;158.622421;657.387;7500269;34;Пешеходный переход наземный;55.752;37.6079;158.72802734375;13
7683746;55.75401;37.603031;162.404388;654.124;7499922;34;Пешеходный переход наземный;55.7544;37.6029;163.688827514648;95
7683747;55.750623;37.604115;159.020813;653.164;7499981;34;Пешеходный переход наземный;55.751;37.6044;159.412261962891;211
7683748;55.75412;37.606004;159.382965;652.339;7499740;34;Пешеходный переход наземный;55.7537;37.6059;158.760070800781;24
7683749;55.740059;37.589512;151.521454;651.524;7498213;34;Пешеходный переход наземный;55.7403;37.589;151.218307495117;296
7683750;55.756994;37.603506;165.825012;650.121;7499338;34;Пешеходный переход наземный;55.7573;37.6038;166.532745361328;204
7683751;55.742368;37.588731;156.320953;646.005;7498302;34;Пешеходный переход наземный;55.7426;37.5883;154.920166015625;297
7683752;55.757101;37.602306;167.491898;645.702;7499349;34;Пешеходный переход наземный;55.757;37.6025;167.104858398438;215
7683753;55.74887;37.600592;151.086929;645.278;7500077;34;Пешеходный переход наземный;55.7488;37.6013;150.967300415039;274
7683754;55.743451;37.595019;154.718536;644.89;7498818;34;Пешеходный переход наземный;55.7432;37.5955;153.029418945313;102
7683755;55.75094;37.600234;156.348221;643.052;7497317;34;Пешеходный переход наземный;55.7513;37.6005;156.136291503906;17
7683756;55.739415;37.596303;148.991211;642.568;7497498;34;Пешеходный переход наземный;55.7391;37.596;148.891204833984;213
7683757;55.751248;37.60764;159.628693;641.112;7500256;34;Пешеходный переход наземный;55.7509;37.6075;158.275390625;19
7683758;55.753953;37.605931;159.318527;640.404;7499740;34;Пешеходный переход наземный;55.7537;37.6059;158.760070800781;204
7683759;55.763492;37.603349;175.089233;639.072;7497167;34;Пешеходный переход наземный;55.7638;37.6038;174.804428100586;292
7683760;55.755307;37.600322;164.673813;636.762;7499084;34;Пешеходный переход наземный;55.755;37.6006;161.663589477539;143
7683761;55.761883;37.601681;170.943237;632.888;7497187;34;Пешеходный переход наземный;55.7622;37.6021;170.547256469727;226
7683762;55.742749;37.596097;152.790176;631.777;7498575;34;Пешеходный переход наземный;55.7424;37.5956;151.831314086914;300
7683763;55.739721;37.603636;140.439117;628.364;7497613;34;Пешеходный переход наземный;55.7396;37.6043;138.685150146484;280
7683764;55.744413;37.602001;147.975189;624.914;7498609;34;Пешеходный переход наземный;55.7445;37.6013;145.848129272461;114
7683765;55.748537;37.603;152.944962;618.137;7500062;34;Пешеходный переход наземный;55.7484;37.6035;151.801651000977;111
7683766;55.75787;37.604363;168.283478;616.593;7499328;34;Пешеходный переход наземный;55.7581;37.6045;167.41276550293;39
7683767;55.742625;37.60391;149.226654;616.054;7497798;34;Пешеходный переход наземный;55.7426;37.6036;150.116500854492;240
7683768;55.743762;37.596888;153.985626;613.352;7498772;34;Пешеходный переход наземный;55.7435;37.5974;152.031936645508;304
7683769;55.742293;37.588454;152.879471;612.746;7498541;34;Пешеходный переход наземный;55.7425;37.5888;151.699234008789;71
7683770;55.740898;37.591829;154.815353;610.824;7498326;34;Пешеходный переход наземный;55.7411;37.5912;153.309539794922;129
7683771;55.757623;37.598888;168.964233;604.66;7499111;34;Пешеходный переход наземный;55.7572;37.5988;166.43376159668;234
7683772;55.740934;37.591959;154.658905;602.048;7498398;34;Пешеходный переход наземный;55.7407;37.5918;153.346527099609;250
7683773;55.746273;37.60559;150.227509;601.128;7498731;34;Пешеходный переход наземный;55.7464;37.6059;148.433578491211;63
7683774;55.75632;37.599685;165.736282;594.813;7499096;34;Пешеходный переход наземный;55.756;37.5999;164.024520874023;141
7683775;55.756696;37.604949;160.658371;591.805;7499601;34;Пешеходный переход наземный;55.7566;37.6054;159.909729003906;279
7683776;55.757093;37.602166;167.694504;591.188;7499347;34;Пешеходный переход наземный;55.757;37.6028;166.656997680664;212
7683777;55.759335;37.607338;167.488632;591.075;7499636;34;Пешеходный переход наземный;55.7591;37.6073;165.862747192383;224
7683778;55.741941;37.60069;151.652679;585.821;7497704;34;Пешеходный переход наземный;55.7422;37.6001;150.627090454102;114
7683779;55.744666;37.603043;149.829697;585.667;7498618;34;Пешеходный переход наземный;55.7445;37.6026;147.090560913086;59
7683780;55.760091;37.604616;170.873917;585.654;7499468;34;Пешеходный переход наземный;55.7598;37.6049;168.885223388672;304
7683781;55.761745;37.605242;172.397171;584.889;7499218;34;Пешеходный переход наземный;55.7621;37.6057;172.418273925781;237
7683782;55.753147;37.602014;160.501038;583.088;7499795;34;Пешеходный переход наземный;55.7536;37.6023;160.700164794922;193
7683783;55.75377;37.608039;157.582077;582.98;7499703;34;Пешеходный переход наземный;55.754;37.6082;156.977691650391;31
7683784;55.742621;37.600428;148.70343;582.532;7497542;34;Пешеходный переход наземный;55.7424;37.6001;147.626754760742;227
7683785;55.75054;37.604207;160.148697;580.967;7499983;34;Пешеходный переход наземный;55.7509;37.6043;159.085723876953;211
7683786;55.759332;37.605804;168.851257;580.054;7499645;34;Пешеходный переход наземный;55.7591;37.6062;166.972396850586;298
7683787;55.758447;37.604787;169.056747;579.88;7499319;34;Пешеходный переход наземный;55.7588;37.605;168.438812255859;214
7683788;55.745419;37.601394;152.516968;579.78;7498970;34;Пешеходный переход наземный;55.7451;37.602;149.538665771484;294
7683789;55.749817;37.606755;156.882019;578.687;7500003;34;Пешеходный переход наземный;55.7498;37.6063;156.390228271484;34
7683790;55.753709;37.608103;158.488785;577.133;7499703;34;Пешеходный переход наземный;55.754;37.6082;156.977691650391;211
7683791;55.743784;37.597047;153.971481;577.012;7498773;34;Пешеходный переход наземный;55.7435;37.5973;152.219253540039;124
7683792;55.739506;37.59611;148.703751;575.665;7497498;34;Пешеходный переход наземный;55.7391;37.596;148.891204833984;213
7683793;55.754581;37.60868;156.468506;574.587;7499691;34;Пешеходный переход наземный;55.755;37.6091;155.470657348633;226
