id;parentid
7683772;7683741
7683824;7683806
7683922;7683809
7683935;7683861
7684068;7683995
7684088;7683779
7684089;7683870
7684099;7683728
7684101;7683848
7684106;7683899
7684128;7683893
7684136;7683730
7684151;7683907
7684152;7683854
7684153;7684139
7684154;7683934
7684172;7684015
7684173;7683895
7684184;7684087
7684209;7683860
7684216;7683808
7684248;7684215
7684267;7683965
7684279;7684123
7684297;7684281
7684303;7684189
7684307;7683864
7684322;7683781
7684325;7684036
7684327;7684203
7684335;7683951
7684345;7684190
7684347;7684305
7684363;7684030
7684366;7684048
7684384;7683990
7684391;7683804
7684395;7684371
7684398;7683735
7684405;7684387
7684406;7684271
7684411;7683925
7684419;7684387
7684419;7684405
7684428;7684408
7684443;7684057
7684449;7684098
7684478;7684108
7684482;7683872
7684484;7683909
7684495;7684471
7684499;7684441
7684502;7683749
7684509;7684422
7684511;7683758
7684512;7684306
7684514;7684221
7684527;7683905
7684537;7684031
7684545;7684064
7684551;7684480
7684566;7684219
7684569;7683744
7684572;7684112
7684577;7683913
7684578;7684574
7684582;7684431
7684586;7684274
7684591;7683906
7684594;7684055
7684599;7684144
7684602;7684063
7684603;7683844
7684609;7684584
7684611;7684370
7684616;7684343
7684617;7684440
7684622;7684414
7684625;7684245
7684637;7684404
7684642;7684623
7684648;7684176
7684649;7684439
7684659;7683794
7684680;7684222
7684683;7684525
7684706;7683926
7684708;7684458
7684719;7684145
7684731;7684485
7684749;7684316
7684754;7684060
7684760;7684703
7684765;7684702
7684777;7684233
7684799;7684555
7684810;7684787
7684816;7684474
7684824;7684726
7684836;7684590
7684859;7684361
7684863;7684082
7684864;7683765
7684874;7684249
7684876;7684854
7684883;7684623
7684883;7684642
7684906;7684526
7684907;7684012
7684915;7683764
7684919;7684630
7684921;7684712
7684924;7684838
7684930;7684747
7684938;7684651
7684952;7684829
7684954;7684446
7684955;7684235
7684963;7684676
7684970;7684597
7684977;7684700
7684985;7684692
7684988;7683899
7684988;7684106
7684994;7684013
7684997;7684654
7685004;7684282
7685006;7684716
7685015;7684466
7685028;7684397
7685045;7684897
7685047;7684855
7685051;7684263
7685086;7684517
7685097;7683971
7685100;7684067
7685112;7684158
7685129;7684909
7685132;7684014
7685150;7684949
7685158;7684534
7685182;7684051
7685197;7684520
7685200;7684748
7685202;7684291
7685217;7684137
7685228;7684705
7685229;7684501
7685232;7685176
7685236;7685001
7685249;7684655
7685262;7684902
7685264;7685090
7685274;7685059
7685295;7684601
7685299;7685008
7685300;7684166
7685317;7684984
7685319;7684626
7685325;7684885
7685343;7684877
7685351;7685335
7685358;7684464
7685360;7685221
7685385;7685190
7685389;7685190
7685389;7685385
7685396;7684826
7685406;7685312
7685411;7684900
7685413;7684147
7685431;7685210
7685436;7683946
7685437;7684269
7685441;7685035
7685450;7684349
7685459;7683983
7685466;7684441
7685466;7684499
7685468;7685242
7685470;7684745
7685476;7684773
7685486;7684180
7685491;7685225
7685492;7685193
7685497;7683820
7685500;7685408
7685517;7685063
7685521;7685380
7685524;7684272
7685552;7684135
7685576;7685286
7685577;7684956
7685582;7685357
7685596;7685069
7685599;7684574
7685599;7684578
7685604;7684647
7685606;7685114
7685609;7684470
7685615;7685164
7685625;7685532
7685630;7684888
7685635;7684967
7685641;7684336
7685644;7684469
7685652;7684850
7685656;7685002
7685659;7684062
